PassengerId,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Pclass,Embarked,Survived,Cabin
78,"Moutal, Mr. Rahamin Haim",male,33.60869082764939,0,0,374746,8.05,3,S,0,
79,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29,2,S,1,
80,"Dowdell, Miss. Elizabeth",female,30,0,0,364516,12.475,3,S,1,
81,"Waelens, Mr. Achille",male,22,0,0,345767,9,3,S,0,
82,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,345779,9.5,3,S,1,
83,"McDermott, Miss. Brigdet Delia",female,33.60869082764939,0,0,330932,7.7875,3,Q,1,
84,"Carrau, Mr. Francisco M",male,28,0,0,113059,47.1,1,S,0,
85,"Ilett, Miss. Bertha",female,17,0,0,SO/C 14885,10.5,2,S,1,
86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0,3101278,15.85,3,S,1,
87,"Ford, Mr. William Neal",male,16,1,3,W./C. 6608,34.375,3,S,0,
88,"Slocovski, Mr. Selman Francis",male,33.60869082764939,0,0,SOTON/OQ 392086,8.05,3,S,0,
89,"Fortune, Miss. Mabel Helen",female,23,3,2,19950,263,1,S,1,C23 C25 C27
90,"Celotti, Mr. Francesco",male,24,0,0,343275,8.05,3,S,0,
91,"Christmann, Mr. Emil",male,29,0,0,343276,8.05,3,S,0,
92,"Andreasson, Mr. Paul Edvin",male,20,0,0,347466,7.8542,3,S,0,
93,"Chaffee, Mr. Herbert Fuller",male,46,1,0,W.E.P. 5734,61.175,1,S,0,E31
94,"Dean, Mr. Bertram Frank",male,26,1,2,C.A. 2315,20.575,3,S,0,
95,"Coxon, Mr. Daniel",male,59,0,0,364500,7.25,3,S,0,
96,"Shorney, Mr. Charles Joseph",male,33.60869082764939,0,0,374910,8.05,3,S,0,
97,"Goldschmidt, Mr. George B",male,71,0,0,PC 17754,34.6542,1,C,0,A5
98,"Greenfield, Mr. William Bertram",male,23,0,1,PC 17759,63.3583,1,C,1,D10 D12
99,"Doling, Mrs. John T (Ada Julia Bone)",female,34,0,1,231919,23,2,S,1,
100,"Kantor, Mr. Sinai",male,34,1,0,244367,26,2,S,0,
101,"Petranec, Miss. Matilda",female,28,0,0,349245,7.8958,3,S,0,
102,"Petroff, Mr. Pastcho (""Pentcho"")",male,33.60869082764939,0,0,349215,7.8958,3,S,0,
103,"White, Mr. Richard Frasar",male,21,0,1,35281,77.2875,1,S,0,D26
104,"Johansson, Mr. Gustaf Joel",male,33,0,0,7540,8.6542,3,S,0,
105,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,3101276,7.925,3,S,0,
106,"Mionoff, Mr. Stoytcho",male,28,0,0,349207,7.8958,3,S,0,
107,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,343120,7.65,3,S,1,
108,"Moss, Mr. Albert Johan",male,33.60869082764939,0,0,312991,7.775,3,S,1,
109,"Rekic, Mr. Tido",male,38,0,0,349249,7.8958,3,S,0,
110,"Moran, Miss. Bertha",female,33.60869082764939,1,0,371110,24.15,3,Q,1,
111,"Porter, Mr. Walter Chamberlain",male,47,0,0,110465,52,1,S,0,C110
112,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,3,C,0,
113,"Barton, Mr. David John",male,22,0,0,324669,8.05,3,S,0,
114,"Jussila, Miss. Katriina",female,20,1,0,4136,9.825,3,S,0,
115,"Attalah, Miss. Malake",female,17,0,0,2627,14.4583,3,C,0,
116,"Pekoniemi, Mr. Edvard",male,21,0,0,STON/O 2. 3101294,7.925,3,S,0,
117,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,3,Q,0,
118,"Turpin, Mr. William John Robert",male,29,1,0,11668,21,2,S,0,
119,"Baxter, Mr. Quigg Edmond",male,24,0,1,PC 17558,247.5208,1,C,0,B58 B60
120,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,347082,31.275,3,S,0,
121,"Hickman, Mr. Stanley George",male,21,2,0,S.O.C. 14879,73.5,2,S,0,
122,"Moore, Mr. Leonard Charles",male,33.60869082764939,0,0,A4. 54510,8.05,3,S,0,
123,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,2,C,0,
124,"Webber, Miss. Susan",female,32.5,0,0,27267,13,2,S,1,E101
125,"White, Mr. Percival Wayland",male,54,0,1,35281,77.2875,1,S,0,D26
126,"Nicola-Yarred, Master. Elias",male,12,1,0,2651,11.2417,3,C,1,
127,"McMahon, Mr. Martin",male,33.60869082764939,0,0,370372,7.75,3,Q,0,
128,"Madsen, Mr. Fridtjof Arne",male,24,0,0,C 17369,7.1417,3,S,1,
129,"Peter, Miss. Anna",female,33.60869082764939,1,1,2668,22.3583,3,C,1,F E69
130,"Ekstrom, Mr. Johan",male,45,0,0,347061,6.975,3,S,0,
131,"Drazenoic, Mr. Jozef",male,33,0,0,349241,7.8958,3,C,0,
132,"Coelho, Mr. Domingos Fernandeo",male,20,0,0,SOTON/O.Q. 3101307,7.05,3,S,0,
133,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,A/5. 3337,14.5,3,S,0,
134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0,228414,26,2,S,1,
135,"Sobey, Mr. Samuel James Hayden",male,25,0,0,C.A. 29178,13,2,S,0,
136,"Richard, Mr. Emile",male,23,0,0,SC/PARIS 2133,15.0458,2,C,0,
137,"Newsom, Miss. Helen Monypeny",female,19,0,2,11752,26.2833,1,S,1,D47
138,"Futrelle, Mr. Jacques Heath",male,37,1,0,113803,53.1,1,S,0,C123
139,"Osen, Mr. Olaf Elon",male,16,0,0,7534,9.2167,3,S,0,
140,"Giglio, Mr. Victor",male,24,0,0,PC 17593,79.2,1,C,0,B86
141,"Boulos, Mrs. Joseph (Sultana)",female,33.60869082764939,0,2,2678,15.2458,3,C,0,
142,"Nysten, Miss. Anna Sofia",female,22,0,0,347081,7.75,3,S,1,
143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0,STON/O2. 3101279,15.85,3,S,1,
144,"Burke, Mr. Jeremiah",male,19,0,0,365222,6.75,3,Q,0,
145,"Andrew, Mr. Edgardo Samuel",male,18,0,0,231945,11.5,2,S,0,
146,"Nicholls, Mr. Joseph Charles",male,19,1,1,C.A. 33112,36.75,2,S,0,
147,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,0,350043,7.7958,3,S,1,
148,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,2,W./C. 6608,34.375,3,S,0,
149,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26,2,S,0,F2
150,"Byles, Rev. Thomas Roussel Davids",male,42,0,0,244310,13,2,S,0,
151,"Bateman, Rev. Robert James",male,51,0,0,S.O.P. 1166,12.525,2,S,0,
152,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,113776,66.6,1,S,1,C2
153,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,3,S,0,
154,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,3,S,0,
155,"Olsen, Mr. Ole Martin",male,33.60869082764939,0,0,Fa 265302,7.3125,3,S,0,
156,"Williams, Mr. Charles Duane",male,51,0,1,PC 17597,61.3792,1,C,0,
157,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0,35851,7.7333,3,Q,1,
158,"Corn, Mr. Harry",male,30,0,0,SOTON/OQ 392090,8.05,3,S,0,
159,"Smiljanic, Mr. Mile",male,33.60869082764939,0,0,315037,8.6625,3,S,0,
160,"Sage, Master. Thomas Henry",male,33.60869082764939,8,2,CA. 2343,69.55,3,S,0,
161,"Cribb, Mr. John Hatfield",male,44,0,1,371362,16.1,3,S,0,
162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,0,C.A. 33595,15.75,2,S,1,
163,"Bengtsson, Mr. John Viktor",male,26,0,0,347068,7.775,3,S,0,
164,"Calic, Mr. Jovo",male,17,0,0,315093,8.6625,3,S,0,
165,"Panula, Master. Eino Viljami",male,1,4,1,3101295,39.6875,3,S,0,
166,"Goldsmith, Master. Frank John William ""Frankie""",male,9,0,2,363291,20.525,3,S,1,
167,"Chibnall, Mrs. (Edith Martha Bowerman)",female,33.60869082764939,0,1,113505,55,1,S,1,E33
168,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,4,347088,27.9,3,S,0,
169,"Baumann, Mr. John D",male,33.60869082764939,0,0,PC 17318,25.925,1,S,0,
170,"Ling, Mr. Lee",male,28,0,0,1601,56.4958,3,S,0,
171,"Van der hoef, Mr. Wyckoff",male,61,0,0,111240,33.5,1,S,0,B19
172,"Rice, Master. Arthur",male,4,4,1,382652,29.125,3,Q,0,
173,"Johnson, Miss. Eleanor Ileen",female,1,1,1,347742,11.1333,3,S,1,
174,"Sivola, Mr. Antti Wilhelm",male,21,0,0,STON/O 2. 3101280,7.925,3,S,0,
175,"Smith, Mr. James Clinch",male,56,0,0,17764,30.6958,1,C,0,A7
176,"Klasen, Mr. Klas Albin",male,18,1,1,350404,7.8542,3,S,0,
177,"Lefebre, Master. Henry Forbes",male,33.60869082764939,3,1,4133,25.4667,3,S,0,
178,"Isham, Miss. Ann Elizabeth",female,50,0,0,PC 17595,28.7125,1,C,0,C49
179,"Hale, Mr. Reginald",male,30,0,0,250653,13,2,S,0,
180,"Leonard, Mr. Lionel",male,36,0,0,LINE,0,3,S,0,
181,"Sage, Miss. Constance Gladys",female,33.60869082764939,8,2,CA. 2343,69.55,3,S,0,
182,"Pernot, Mr. Rene",male,33.60869082764939,0,0,SC/PARIS 2131,15.05,2,C,0,
183,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2,347077,31.3875,3,S,0,
184,"Becker, Master. Richard F",male,1,2,1,230136,39,2,S,1,F4
185,"Kink-Heilmann, Miss. Luise Gretchen",female,4,0,2,315153,22.025,3,S,1,
186,"Rood, Mr. Hugh Roscoe",male,33.60869082764939,0,0,113767,50,1,S,0,A32
187,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,33.60869082764939,1,0,370365,15.5,3,Q,1,
188,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,0,0,111428,26.55,1,S,1,
189,"Bourke, Mr. John",male,40,1,1,364849,15.5,3,Q,0,
190,"Turcin, Mr. Stjepan",male,36,0,0,349247,7.8958,3,S,0,
191,"Pinsky, Mrs. (Rosa)",female,32,0,0,234604,13,2,S,1,
192,"Carbines, Mr. William",male,19,0,0,28424,13,2,S,0,
193,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,1,0,350046,7.8542,3,S,1,
194,"Navratil, Master. Michel M",male,3,1,1,230080,26,2,S,1,F2
195,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0,PC 17610,27.7208,1,C,1,B4
196,"Lurette, Miss. Elise",female,58,0,0,PC 17569,146.5208,1,C,1,B80
197,"Mernagh, Mr. Robert",male,33.60869082764939,0,0,368703,7.75,3,Q,0,
198,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1,4579,8.4042,3,S,0,
199,"Madigan, Miss. Margaret ""Maggie""",female,33.60869082764939,0,0,370370,7.75,3,Q,1,
200,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,0,0,248747,13,2,S,0,
201,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0,345770,9.5,3,S,0,
202,"Sage, Mr. Frederick",male,33.60869082764939,8,2,CA. 2343,69.55,3,S,0,
203,"Johanson, Mr. Jakob Alfred",male,34,0,0,3101264,6.4958,3,S,0,
204,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,3,C,0,
205,"Cohen, Mr. Gurshon ""Gus""",male,18,0,0,A/5 3540,8.05,3,S,1,
206,"Strom, Miss. Telma Matilda",female,2,0,1,347054,10.4625,3,S,0,G6
207,"Backstrom, Mr. Karl Alfred",male,32,1,0,3101278,15.85,3,S,0,
208,"Albimona, Mr. Nassef Cassem",male,26,0,0,2699,18.7875,3,C,1,
209,"Carr, Miss. Helen ""Ellen""",female,16,0,0,367231,7.75,3,Q,1,
210,"Blank, Mr. Henry",male,40,0,0,112277,31,1,C,1,A31
211,"Ali, Mr. Ahmed",male,24,0,0,SOTON/O.Q. 3101311,7.05,3,S,0,
212,"Cameron, Miss. Clear Annie",female,35,0,0,F.C.C. 13528,21,2,S,1,
213,"Perkin, Mr. John Henry",male,22,0,0,A/5 21174,7.25,3,S,0,
214,"Givard, Mr. Hans Kristensen",male,30,0,0,250646,13,2,S,0,
215,"Kiernan, Mr. Philip",male,33.60869082764939,1,0,367229,7.75,3,Q,0,
216,"Newell, Miss. Madeleine",female,31,1,0,35273,113.275,1,C,1,D36
217,"Honkanen, Miss. Eliina",female,27,0,0,STON/O2. 3101283,7.925,3,S,1,
218,"Jacobsohn, Mr. Sidney Samuel",male,42,1,0,243847,27,2,S,0,
219,"Bazzani, Miss. Albina",female,32,0,0,11813,76.2917,1,C,1,D15
220,"Harris, Mr. Walter",male,30,0,0,W/C 14208,10.5,2,S,0,
221,"Sunderland, Mr. Victor Francis",male,16,0,0,SOTON/OQ 392089,8.05,3,S,1,
222,"Bracken, Mr. James H",male,27,0,0,220367,13,2,S,0,
223,"Green, Mr. George Henry",male,51,0,0,21440,8.05,3,S,0,
224,"Nenkoff, Mr. Christo",male,33.60869082764939,0,0,349234,7.8958,3,S,0,
225,"Hoyt, Mr. Frederick Maxfield",male,38,1,0,19943,90,1,S,1,C93
226,"Berglund, Mr. Karl Ivar Sven",male,22,0,0,PP 4348,9.35,3,S,0,
227,"Mellors, Mr. William John",male,19,0,0,SW/PP 751,10.5,2,S,1,
228,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,A/5 21173,7.25,3,S,0,
229,"Fahlstrom, Mr. Arne Jonas",male,18,0,0,236171,13,2,S,0,
230,"Lefebre, Miss. Mathilde",female,33.60869082764939,3,1,4133,25.4667,3,S,0,
231,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0,36973,83.475,1,S,1,C83
232,"Larsson, Mr. Bengt Edvin",male,29,0,0,347067,7.775,3,S,0,
233,"Sjostedt, Mr. Ernst Adolf",male,59,0,0,237442,13.5,2,S,0,
234,"Asplund, Miss. Lillian Gertrud",female,5,4,2,347077,31.3875,3,S,1,
235,"Leyson, Mr. Robert William Norman",male,24,0,0,C.A. 29566,10.5,2,S,0,
236,"Harknett, Miss. Alice Phoebe",female,33.60869082764939,0,0,W./C. 6609,7.55,3,S,0,
237,"Hold, Mr. Stephen",male,44,1,0,26707,26,2,S,0,
238,"Collyer, Miss. Marjorie ""Lottie""",female,8,0,2,C.A. 31921,26.25,2,S,1,
239,"Pengelly, Mr. Frederick William",male,19,0,0,28665,10.5,2,S,0,
240,"Hunt, Mr. George Henry",male,33,0,0,SCO/W 1585,12.275,2,S,0,
241,"Zabour, Miss. Thamine",female,33.60869082764939,1,0,2665,14.4542,3,C,0,
242,"Murphy, Miss. Katherine ""Kate""",female,33.60869082764939,1,0,367230,15.5,3,Q,1,
243,"Coleridge, Mr. Reginald Charles",male,29,0,0,W./C. 14263,10.5,2,S,0,
244,"Maenpaa, Mr. Matti Alexanteri",male,22,0,0,STON/O 2. 3101275,7.125,3,S,0,
245,"Attalah, Mr. Sleiman",male,30,0,0,2694,7.225,3,C,0,
246,"Minahan, Dr. William Edward",male,44,2,0,19928,90,1,Q,0,C78
247,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,0,0,347071,7.775,3,S,0,
248,"Hamalainen, Mrs. William (Anna)",female,24,0,2,250649,14.5,2,S,1,
249,"Beckwith, Mr. Richard Leonard",male,37,1,1,11751,52.5542,1,S,1,D35
250,"Carter, Rev. Ernest Courtenay",male,54,1,0,244252,26,2,S,0,
251,"Reed, Mr. James George",male,33.60869082764939,0,0,362316,7.25,3,S,0,
252,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1,347054,10.4625,3,S,0,G6
253,"Stead, Mr. William Thomas",male,62,0,0,113514,26.55,1,S,0,C87
254,"Lobb, Mr. William Arthur",male,30,1,0,A/5. 3336,16.1,3,S,0,
255,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,0,2,370129,20.2125,3,S,0,
256,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,2,2650,15.2458,3,C,1,
257,"Thorne, Mrs. Gertrude Maybelle",female,33.60869082764939,0,0,PC 17585,79.2,1,C,1,
258,"Cherry, Miss. Gladys",female,30,0,0,110152,86.5,1,S,1,B77
259,"Ward, Miss. Anna",female,35,0,0,PC 17755,512.3292,1,C,1,
260,"Parrish, Mrs. (Lutie Davis)",female,50,0,1,230433,26,2,S,1,
261,"Smith, Mr. Thomas",male,33.60869082764939,0,0,384461,7.75,3,Q,0,
262,"Asplund, Master. Edvin Rojj Felix",male,3,4,2,347077,31.3875,3,S,1,
263,"Taussig, Mr. Emil",male,52,1,1,110413,79.65,1,S,0,E67
264,"Harrison, Mr. William",male,40,0,0,112059,0,1,S,0,B94
265,"Henry, Miss. Delia",female,33.60869082764939,0,0,382649,7.75,3,Q,0,
266,"Reeves, Mr. David",male,36,0,0,C.A. 17248,10.5,2,S,0,
267,"Panula, Mr. Ernesti Arvid",male,16,4,1,3101295,39.6875,3,S,0,
268,"Persson, Mr. Ernst Ulrik",male,25,1,0,347083,7.775,3,S,1,
269,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,0,1,PC 17582,153.4625,1,S,1,C125
270,"Bissette, Miss. Amelia",female,35,0,0,PC 17760,135.6333,1,S,1,C99
271,"Cairns, Mr. Alexander",male,33.60869082764939,0,0,113798,31,1,S,0,
272,"Tornquist, Mr. William Henry",male,25,0,0,LINE,0,3,S,1,
273,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41,0,1,250644,19.5,2,S,1,
274,"Natsch, Mr. Charles H",male,37,0,1,PC 17596,29.7,1,C,0,C118
275,"Healy, Miss. Hanora ""Nora""",female,33.60869082764939,0,0,370375,7.75,3,Q,1,
276,"Andrews, Miss. Kornelia Theodosia",female,63,1,0,13502,77.9583,1,S,1,D7
277,"Lindblom, Miss. Augusta Charlotta",female,45,0,0,347073,7.75,3,S,0,
278,"Parkes, Mr. Francis ""Frank""",male,33.60869082764939,0,0,239853,0,2,S,0,
279,"Rice, Master. Eric",male,7,4,1,382652,29.125,3,Q,0,
280,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,1,1,C.A. 2673,20.25,3,S,1,
281,"Duane, Mr. Frank",male,65,0,0,336439,7.75,3,Q,0,
282,"Olsson, Mr. Nils Johan Goransson",male,28,0,0,347464,7.8542,3,S,0,
283,"de Pelsmaeker, Mr. Alfons",male,16,0,0,345778,9.5,3,S,0,
284,"Dorking, Mr. Edward Arthur",male,19,0,0,A/5. 10482,8.05,3,S,1,
285,"Smith, Mr. Richard William",male,33.60869082764939,0,0,113056,26,1,S,0,A19
286,"Stankovic, Mr. Ivan",male,33,0,0,349239,8.6625,3,C,0,
287,"de Mulder, Mr. Theodore",male,30,0,0,345774,9.5,3,S,1,
288,"Naidenoff, Mr. Penko",male,22,0,0,349206,7.8958,3,S,0,
289,"Hosono, Mr. Masabumi",male,42,0,0,237798,13,2,S,1,
290,"Connolly, Miss. Kate",female,22,0,0,370373,7.75,3,Q,1,
291,"Barber, Miss. Ellen ""Nellie""",female,26,0,0,19877,78.85,1,S,1,
292,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,0,11967,91.0792,1,C,1,B49
293,"Levy, Mr. Rene Jacques",male,36,0,0,SC/Paris 2163,12.875,2,C,0,D
294,"Haas, Miss. Aloisia",female,24,0,0,349236,8.85,3,S,0,
295,"Mineff, Mr. Ivan",male,24,0,0,349233,7.8958,3,S,0,
296,"Lewy, Mr. Ervin G",male,33.60869082764939,0,0,PC 17612,27.7208,1,C,0,
297,"Hanna, Mr. Mansour",male,23.5,0,0,2693,7.2292,3,C,0,
298,"Allison, Miss. Helen Loraine",female,2,1,2,113781,151.55,1,S,0,C22 C26
299,"Saalfeld, Mr. Adolphe",male,33.60869082764939,0,0,19988,30.5,1,S,1,C106
300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,0,1,PC 17558,247.5208,1,C,1,B58 B60
301,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,33.60869082764939,0,0,9234,7.75,3,Q,1,
