PassengerId,Name,Sex,Age,Pclass,Embarked
32,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,33.60869082764939,1,C
33,"Glynn, Miss. Mary Agatha",female,33.60869082764939,3,Q
34,"Wheadon, Mr. Edward H",male,66,2,S
35,"Meyer, Mr. Edgar Joseph",male,28,1,C
36,"Holverson, Mr. Alexander Oskar",male,42,1,S
37,"Mamee, Mr. Hanna",male,33.60869082764939,3,C
38,"Cann, Mr. Ernest Charles",male,21,3,S
39,"Vander Planke, Miss. Augusta Maria",female,18,3,S
40,"Nicola-Yarred, Miss. Jamila",female,14,3,C
41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,3,S
42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,2,S
43,"Kraeff, Mr. Theodor",male,33.60869082764939,3,C
44,"Laroche, Miss. Simonne Marie Anne Andree",female,3,2,C
45,"Devaney, Miss. Margaret Delia",female,19,3,Q
46,"Rogers, Mr. William John",male,33.60869082764939,3,S
47,"Lennon, Mr. Denis",male,33.60869082764939,3,Q
48,"O'Driscoll, Miss. Bridget",female,33.60869082764939,3,Q
49,"Samaan, Mr. Youssef",male,33.60869082764939,3,C
50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,3,S
51,"Panula, Master. Juha Niilo",male,7,3,S
52,"Nosworthy, Mr. Richard Cater",male,21,3,S
53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,C
54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,2,S
55,"Ostby, Mr. Engelhart Cornelius",male,65,1,C
56,"Woolner, Mr. Hugh",male,33.60869082764939,1,S
57,"Rugg, Miss. Emily",female,21,2,S
58,"Novel, Mr. Mansouer",male,28.5,3,C
59,"West, Miss. Constance Mirium",female,5,2,S
60,"Goodwin, Master. William Frederick",male,11,3,S
61,"Sirayanian, Mr. Orsen",male,22,3,C
62,"Icard, Miss. Amelie",female,38,1,N
63,"Harris, Mr. Henry Birkhardt",male,45,1,S
64,"Skoog, Master. Harald",male,4,3,S
65,"Stewart, Mr. Albert A",male,33.60869082764939,1,C
66,"Moubarek, Master. Gerios",male,33.60869082764939,3,C
67,"Nye, Mrs. (Elizabeth Ramell)",female,29,2,S
68,"Crease, Mr. Ernest James",male,19,3,S
69,"Andersson, Miss. Erna Alexandra",female,17,3,S
70,"Kink, Mr. Vincenz",male,26,3,S
71,"Jenkin, Mr. Stephen Curnow",male,32,2,S
72,"Goodwin, Miss. Lillian Amy",female,16,3,S
73,"Hood, Mr. Ambrose Jr",male,21,2,S
74,"Chronopoulos, Mr. Apostolos",male,26,3,C
75,"Bing, Mr. Lee",male,32,3,S
76,"Moen, Mr. Sigurd Hansen",male,25,3,S
77,"Staneff, Mr. Ivan",male,33.60869082764939,3,S
78,"Moutal, Mr. Rahamin Haim",male,33.60869082764939,3,S
79,"Caldwell, Master. Alden Gates",male,0.83,2,S
80,"Dowdell, Miss. Elizabeth",female,30,3,S
81,"Waelens, Mr. Achille",male,22,3,S
82,"Sheerlinck, Mr. Jan Baptist",male,29,3,S
83,"McDermott, Miss. Brigdet Delia",female,33.60869082764939,3,Q
84,"Carrau, Mr. Francisco M",male,28,1,S
85,"Ilett, Miss. Bertha",female,17,2,S
86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,S
87,"Ford, Mr. William Neal",male,16,3,S
88,"Slocovski, Mr. Selman Francis",male,33.60869082764939,3,S
89,"Fortune, Miss. Mabel Helen",female,23,1,S
90,"Celotti, Mr. Francesco",male,24,3,S
91,"Christmann, Mr. Emil",male,29,3,S
92,"Andreasson, Mr. Paul Edvin",male,20,3,S
93,"Chaffee, Mr. Herbert Fuller",male,46,1,S
94,"Dean, Mr. Bertram Frank",male,26,3,S
95,"Coxon, Mr. Daniel",male,59,3,S
96,"Shorney, Mr. Charles Joseph",male,33.60869082764939,3,S
97,"Goldschmidt, Mr. George B",male,71,1,C
98,"Greenfield, Mr. William Bertram",male,23,1,C
99,"Doling, Mrs. John T (Ada Julia Bone)",female,34,2,S
100,"Kantor, Mr. Sinai",male,34,2,S
101,"Petranec, Miss. Matilda",female,28,3,S
102,"Petroff, Mr. Pastcho (""Pentcho"")",male,33.60869082764939,3,S
103,"White, Mr. Richard Frasar",male,21,1,S
104,"Johansson, Mr. Gustaf Joel",male,33,3,S
105,"Gustafsson, Mr. Anders Vilhelm",male,37,3,S
106,"Mionoff, Mr. Stoytcho",male,28,3,S
107,"Salkjelsvik, Miss. Anna Kristine",female,21,3,S
108,"Moss, Mr. Albert Johan",male,33.60869082764939,3,S
109,"Rekic, Mr. Tido",male,38,3,S
110,"Moran, Miss. Bertha",female,33.60869082764939,3,Q
111,"Porter, Mr. Walter Chamberlain",male,47,1,S
112,"Zabour, Miss. Hileni",female,14.5,3,C
113,"Barton, Mr. David John",male,22,3,S
114,"Jussila, Miss. Katriina",female,20,3,S
115,"Attalah, Miss. Malake",female,17,3,C
116,"Pekoniemi, Mr. Edvard",male,21,3,S
117,"Connors, Mr. Patrick",male,70.5,3,Q
118,"Turpin, Mr. William John Robert",male,29,2,S
119,"Baxter, Mr. Quigg Edmond",male,24,1,C
120,"Andersson, Miss. Ellis Anna Maria",female,2,3,S
121,"Hickman, Mr. Stanley George",male,21,2,S
122,"Moore, Mr. Leonard Charles",male,33.60869082764939,3,S
123,"Nasser, Mr. Nicholas",male,32.5,2,C
124,"Webber, Miss. Susan",female,32.5,2,S
125,"White, Mr. Percival Wayland",male,54,1,S
126,"Nicola-Yarred, Master. Elias",male,12,3,C
127,"McMahon, Mr. Martin",male,33.60869082764939,3,Q
128,"Madsen, Mr. Fridtjof Arne",male,24,3,S
129,"Peter, Miss. Anna",female,33.60869082764939,3,C
130,"Ekstrom, Mr. Johan",male,45,3,S
131,"Drazenoic, Mr. Jozef",male,33,3,C
132,"Coelho, Mr. Domingos Fernandeo",male,20,3,S
133,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,3,S
134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,2,S
135,"Sobey, Mr. Samuel James Hayden",male,25,2,S
136,"Richard, Mr. Emile",male,23,2,C
137,"Newsom, Miss. Helen Monypeny",female,19,1,S
138,"Futrelle, Mr. Jacques Heath",male,37,1,S
139,"Osen, Mr. Olaf Elon",male,16,3,S
140,"Giglio, Mr. Victor",male,24,1,C
141,"Boulos, Mrs. Joseph (Sultana)",female,33.60869082764939,3,C
142,"Nysten, Miss. Anna Sofia",female,22,3,S
143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,3,S
144,"Burke, Mr. Jeremiah",male,19,3,Q
145,"Andrew, Mr. Edgardo Samuel",male,18,2,S
146,"Nicholls, Mr. Joseph Charles",male,19,2,S
147,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,3,S
148,"Ford, Miss. Robina Maggie ""Ruby""",female,9,3,S
149,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,2,S
150,"Byles, Rev. Thomas Roussel Davids",male,42,2,S
151,"Bateman, Rev. Robert James",male,51,2,S
152,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,S
153,"Meo, Mr. Alfonzo",male,55.5,3,S
154,"van Billiard, Mr. Austin Blyler",male,40.5,3,S
155,"Olsen, Mr. Ole Martin",male,33.60869082764939,3,S
156,"Williams, Mr. Charles Duane",male,51,1,C
157,"Gilnagh, Miss. Katherine ""Katie""",female,16,3,Q
158,"Corn, Mr. Harry",male,30,3,S
159,"Smiljanic, Mr. Mile",male,33.60869082764939,3,S
160,"Sage, Master. Thomas Henry",male,33.60869082764939,3,S
161,"Cribb, Mr. John Hatfield",male,44,3,S
162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,2,S
163,"Bengtsson, Mr. John Viktor",male,26,3,S
164,"Calic, Mr. Jovo",male,17,3,S
165,"Panula, Master. Eino Viljami",male,1,3,S
166,"Goldsmith, Master. Frank John William ""Frankie""",male,9,3,S
167,"Chibnall, Mrs. (Edith Martha Bowerman)",female,33.60869082764939,1,S
168,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,3,S
169,"Baumann, Mr. John D",male,33.60869082764939,1,S
170,"Ling, Mr. Lee",male,28,3,S
171,"Van der hoef, Mr. Wyckoff",male,61,1,S
172,"Rice, Master. Arthur",male,4,3,Q
173,"Johnson, Miss. Eleanor Ileen",female,1,3,S
174,"Sivola, Mr. Antti Wilhelm",male,21,3,S
175,"Smith, Mr. James Clinch",male,56,1,C
176,"Klasen, Mr. Klas Albin",male,18,3,S
177,"Lefebre, Master. Henry Forbes",male,33.60869082764939,3,S
178,"Isham, Miss. Ann Elizabeth",female,50,1,C
179,"Hale, Mr. Reginald",male,30,2,S
180,"Leonard, Mr. Lionel",male,36,3,S
181,"Sage, Miss. Constance Gladys",female,33.60869082764939,3,S
182,"Pernot, Mr. Rene",male,33.60869082764939,2,C
183,"Asplund, Master. Clarence Gustaf Hugo",male,9,3,S
184,"Becker, Master. Richard F",male,1,2,S
185,"Kink-Heilmann, Miss. Luise Gretchen",female,4,3,S
186,"Rood, Mr. Hugh Roscoe",male,33.60869082764939,1,S
187,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,33.60869082764939,3,Q
188,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,1,S
189,"Bourke, Mr. John",male,40,3,Q
190,"Turcin, Mr. Stjepan",male,36,3,S
191,"Pinsky, Mrs. (Rosa)",female,32,2,S
192,"Carbines, Mr. William",male,19,2,S
193,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,3,S
194,"Navratil, Master. Michel M",male,3,2,S
195,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,1,C
196,"Lurette, Miss. Elise",female,58,1,C
197,"Mernagh, Mr. Robert",male,33.60869082764939,3,Q
198,"Olsen, Mr. Karl Siegwart Andreas",male,42,3,S
199,"Madigan, Miss. Margaret ""Maggie""",female,33.60869082764939,3,Q
200,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,2,S
201,"Vande Walle, Mr. Nestor Cyriel",male,28,3,S
202,"Sage, Mr. Frederick",male,33.60869082764939,3,S
203,"Johanson, Mr. Jakob Alfred",male,34,3,S
204,"Youseff, Mr. Gerious",male,45.5,3,C
205,"Cohen, Mr. Gurshon ""Gus""",male,18,3,S
206,"Strom, Miss. Telma Matilda",female,2,3,S
207,"Backstrom, Mr. Karl Alfred",male,32,3,S
208,"Albimona, Mr. Nassef Cassem",male,26,3,C
209,"Carr, Miss. Helen ""Ellen""",female,16,3,Q
210,"Blank, Mr. Henry",male,40,1,C
211,"Ali, Mr. Ahmed",male,24,3,S
212,"Cameron, Miss. Clear Annie",female,35,2,S
213,"Perkin, Mr. John Henry",male,22,3,S
214,"Givard, Mr. Hans Kristensen",male,30,2,S
215,"Kiernan, Mr. Philip",male,33.60869082764939,3,Q
216,"Newell, Miss. Madeleine",female,31,1,C
217,"Honkanen, Miss. Eliina",female,27,3,S
218,"Jacobsohn, Mr. Sidney Samuel",male,42,2,S
219,"Bazzani, Miss. Albina",female,32,1,C
220,"Harris, Mr. Walter",male,30,2,S
221,"Sunderland, Mr. Victor Francis",male,16,3,S
222,"Bracken, Mr. James H",male,27,2,S
223,"Green, Mr. George Henry",male,51,3,S
224,"Nenkoff, Mr. Christo",male,33.60869082764939,3,S
225,"Hoyt, Mr. Frederick Maxfield",male,38,1,S
226,"Berglund, Mr. Karl Ivar Sven",male,22,3,S
227,"Mellors, Mr. William John",male,19,2,S
228,"Lovell, Mr. John Hall (""Henry"")",male,20.5,3,S
229,"Fahlstrom, Mr. Arne Jonas",male,18,2,S
230,"Lefebre, Miss. Mathilde",female,33.60869082764939,3,S
231,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,S
232,"Larsson, Mr. Bengt Edvin",male,29,3,S
233,"Sjostedt, Mr. Ernst Adolf",male,59,2,S
234,"Asplund, Miss. Lillian Gertrud",female,5,3,S
235,"Leyson, Mr. Robert William Norman",male,24,2,S
236,"Harknett, Miss. Alice Phoebe",female,33.60869082764939,3,S
237,"Hold, Mr. Stephen",male,44,2,S
238,"Collyer, Miss. Marjorie ""Lottie""",female,8,2,S
239,"Pengelly, Mr. Frederick William",male,19,2,S
240,"Hunt, Mr. George Henry",male,33,2,S
241,"Zabour, Miss. Thamine",female,33.60869082764939,3,C
242,"Murphy, Miss. Katherine ""Kate""",female,33.60869082764939,3,Q
243,"Coleridge, Mr. Reginald Charles",male,29,2,S
244,"Maenpaa, Mr. Matti Alexanteri",male,22,3,S
245,"Attalah, Mr. Sleiman",male,30,3,C
246,"Minahan, Dr. William Edward",male,44,1,Q
247,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,3,S
248,"Hamalainen, Mrs. William (Anna)",female,24,2,S
249,"Beckwith, Mr. Richard Leonard",male,37,1,S
250,"Carter, Rev. Ernest Courtenay",male,54,2,S
251,"Reed, Mr. James George",male,33.60869082764939,3,S
252,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,3,S
253,"Stead, Mr. William Thomas",male,62,1,S
254,"Lobb, Mr. William Arthur",male,30,3,S
255,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,3,S
256,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,3,C
257,"Thorne, Mrs. Gertrude Maybelle",female,33.60869082764939,1,C
258,"Cherry, Miss. Gladys",female,30,1,S
259,"Ward, Miss. Anna",female,35,1,C
260,"Parrish, Mrs. (Lutie Davis)",female,50,2,S
261,"Smith, Mr. Thomas",male,33.60869082764939,3,Q
262,"Asplund, Master. Edvin Rojj Felix",male,3,3,S
263,"Taussig, Mr. Emil",male,52,1,S
264,"Harrison, Mr. William",male,40,1,S
265,"Henry, Miss. Delia",female,33.60869082764939,3,Q
266,"Reeves, Mr. David",male,36,2,S
267,"Panula, Mr. Ernesti Arvid",male,16,3,S
268,"Persson, Mr. Ernst Ulrik",male,25,3,S
269,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,1,S
270,"Bissette, Miss. Amelia",female,35,1,S
271,"Cairns, Mr. Alexander",male,33.60869082764939,1,S
272,"Tornquist, Mr. William Henry",male,25,3,S
273,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41,2,S
274,"Natsch, Mr. Charles H",male,37,1,C
275,"Healy, Miss. Hanora ""Nora""",female,33.60869082764939,3,Q
276,"Andrews, Miss. Kornelia Theodosia",female,63,1,S
277,"Lindblom, Miss. Augusta Charlotta",female,45,3,S
278,"Parkes, Mr. Francis ""Frank""",male,33.60869082764939,2,S
279,"Rice, Master. Eric",male,7,3,Q
280,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,3,S
281,"Duane, Mr. Frank",male,65,3,Q
282,"Olsson, Mr. Nils Johan Goransson",male,28,3,S
283,"de Pelsmaeker, Mr. Alfons",male,16,3,S
284,"Dorking, Mr. Edward Arthur",male,19,3,S
285,"Smith, Mr. Richard William",male,33.60869082764939,1,S
286,"Stankovic, Mr. Ivan",male,33,3,C
287,"de Mulder, Mr. Theodore",male,30,3,S
288,"Naidenoff, Mr. Penko",male,22,3,S
289,"Hosono, Mr. Masabumi",male,42,2,S
290,"Connolly, Miss. Kate",female,22,3,Q
291,"Barber, Miss. Ellen ""Nellie""",female,26,1,S
292,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,C
293,"Levy, Mr. Rene Jacques",male,36,2,C
294,"Haas, Miss. Aloisia",female,24,3,S
295,"Mineff, Mr. Ivan",male,24,3,S
296,"Lewy, Mr. Ervin G",male,33.60869082764939,1,C
297,"Hanna, Mr. Mansour",male,23.5,3,C
298,"Allison, Miss. Helen Loraine",female,2,1,S
299,"Saalfeld, Mr. Adolphe",male,33.60869082764939,1,S
300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,1,C
301,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,33.60869082764939,3,Q
302,"McCoy, Mr. Bernard",male,33.60869082764939,3,Q
303,"Johnson, Mr. William Cahoone Jr",male,19,3,S
304,"Keane, Miss. Nora A",female,33.60869082764939,2,Q
305,"Williams, Mr. Howard Hugh ""Harry""",male,33.60869082764939,3,S
306,"Allison, Master. Hudson Trevor",male,0.92,1,S
307,"Fleming, Miss. Margaret",female,33.60869082764939,1,C
308,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,C
309,"Abelson, Mr. Samuel",male,30,2,C
310,"Francatelli, Miss. Laura Mabel",female,30,1,C
311,"Hays, Miss. Margaret Bechstein",female,24,1,C
312,"Ryerson, Miss. Emily Borie",female,18,1,C
313,"Lahtinen, Mrs. William (Anna Sylfven)",female,26,2,S
314,"Hendekovic, Mr. Ignjac",male,28,3,S
315,"Hart, Mr. Benjamin",male,43,2,S
316,"Nilsson, Miss. Helmina Josefina",female,26,3,S
317,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24,2,S
318,"Moraweck, Dr. Ernest",male,54,2,S
319,"Wick, Miss. Mary Natalie",female,31,1,S
320,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40,1,C
321,"Dennis, Mr. Samuel",male,22,3,S
322,"Danoff, Mr. Yoto",male,27,3,S
323,"Slayter, Miss. Hilda Mary",female,30,2,Q
324,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22,2,S
325,"Sage, Mr. George John Jr",male,33.60869082764939,3,S
326,"Young, Miss. Marie Grice",female,36,1,C
327,"Nysveen, Mr. Johan Hansen",male,61,3,S
328,"Ball, Mrs. (Ada E Hall)",female,36,2,S
329,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31,3,S
330,"Hippach, Miss. Jean Gertrude",female,16,1,C
331,"McCoy, Miss. Agnes",female,33.60869082764939,3,Q
332,"Partner, Mr. Austen",male,45.5,1,S
333,"Graham, Mr. George Edward",male,38,1,S
334,"Vander Planke, Mr. Leo Edmondus",male,16,3,S
335,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,33.60869082764939,1,S
336,"Denkoff, Mr. Mitto",male,33.60869082764939,3,S
337,"Pears, Mr. Thomas Clinton",male,29,1,S
338,"Burns, Miss. Elizabeth Margaret",female,41,1,C
339,"Dahl, Mr. Karl Edwart",male,45,3,S
340,"Blackwell, Mr. Stephen Weart",male,45,1,S
341,"Navratil, Master. Edmond Roger",male,2,2,S
342,"Fortune, Miss. Alice Elizabeth",female,24,1,S
343,"Collander, Mr. Erik Gustaf",male,28,2,S
344,"Sedgwick, Mr. Charles Frederick Waddington",male,25,2,S
345,"Fox, Mr. Stanley Hubert",male,36,2,S
346,"Brown, Miss. Amelia ""Mildred""",female,24,2,S
347,"Smith, Miss. Marion Elsie",female,40,2,S
348,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,33.60869082764939,3,S
349,"Coutts, Master. William Loch ""William""",male,3,3,S
350,"Dimic, Mr. Jovan",male,42,3,S
351,"Odahl, Mr. Nils Martin",male,23,3,S
352,"Williams-Lambert, Mr. Fletcher Fellows",male,33.60869082764939,1,S
353,"Elias, Mr. Tannous",male,15,3,C
354,"Arnold-Franchi, Mr. Josef",male,25,3,S
355,"Yousif, Mr. Wazli",male,33.60869082764939,3,C
356,"Vanden Steen, Mr. Leo Peter",male,28,3,S
357,"Bowerman, Miss. Elsie Edith",female,22,1,S
358,"Funk, Miss. Annie Clemmer",female,38,2,S
359,"McGovern, Miss. Mary",female,33.60869082764939,3,Q
360,"Mockler, Miss. Helen Mary ""Ellie""",female,33.60869082764939,3,Q
361,"Skoog, Mr. Wilhelm",male,40,3,S
362,"del Carlo, Mr. Sebastiano",male,29,2,C
363,"Barbara, Mrs. (Catherine David)",female,45,3,C
364,"Asim, Mr. Adola",male,35,3,S
365,"O'Brien, Mr. Thomas",male,33.60869082764939,3,Q
366,"Adahl, Mr. Mauritz Nils Martin",male,30,3,S
367,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60,1,C
368,"Moussa, Mrs. (Mantoura Boulos)",female,33.60869082764939,3,C
369,"Jermyn, Miss. Annie",female,33.60869082764939,3,Q
370,"Aubart, Mme. Leontine Pauline",female,24,1,C
371,"Harder, Mr. George Achilles",male,25,1,C
372,"Wiklund, Mr. Jakob Alfred",male,18,3,S
373,"Beavan, Mr. William Thomas",male,19,3,S
374,"Ringhini, Mr. Sante",male,22,1,C
375,"Palsson, Miss. Stina Viola",female,3,3,S
376,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,33.60869082764939,1,C
377,"Landergren, Miss. Aurora Adelia",female,22,3,S
378,"Widener, Mr. Harry Elkins",male,27,1,C
379,"Betros, Mr. Tannous",male,20,3,C
380,"Gustafsson, Mr. Karl Gideon",male,19,3,S
381,"Bidois, Miss. Rosalie",female,42,1,C
382,"Nakid, Miss. Maria (""Mary"")",female,1,3,C
383,"Tikkanen, Mr. Juho",male,32,3,S
384,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35,1,S
385,"Plotcharsky, Mr. Vasil",male,33.60869082764939,3,S
386,"Davies, Mr. Charles Henry",male,18,2,S
387,"Goodwin, Master. Sidney Leonard",male,1,3,S
388,"Buss, Miss. Kate",female,36,2,S
389,"Sadlier, Mr. Matthew",male,33.60869082764939,3,Q
390,"Lehmann, Miss. Bertha",female,17,2,C
391,"Carter, Mr. William Ernest",male,36,1,S
392,"Jansson, Mr. Carl Olof",male,21,3,S
393,"Gustafsson, Mr. Johan Birger",male,28,3,S
394,"Newell, Miss. Marjorie",female,23,1,C
395,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24,3,S
396,"Johansson, Mr. Erik",male,22,3,S
397,"Olsson, Miss. Elina",female,31,3,S
398,"McKane, Mr. Peter David",male,46,2,S
399,"Pain, Dr. Alfred",male,23,2,S
400,"Trout, Mrs. William H (Jessie L)",female,28,2,S
401,"Niskanen, Mr. Juha",male,39,3,S
402,"Adams, Mr. John",male,26,3,S
403,"Jussila, Miss. Mari Aina",female,21,3,S
404,"Hakkarainen, Mr. Pekka Pietari",male,28,3,S
405,"Oreskovic, Miss. Marija",female,20,3,S
406,"Gale, Mr. Shadrach",male,34,2,S
407,"Widegren, Mr. Carl/Charles Peter",male,51,3,S
408,"Richards, Master. William Rowe",male,3,2,S
409,"Birkeland, Mr. Hans Martin Monsen",male,21,3,S
410,"Lefebre, Miss. Ida",female,33.60869082764939,3,S
411,"Sdycoff, Mr. Todor",male,33.60869082764939,3,S
412,"Hart, Mr. Henry",male,33.60869082764939,3,Q
413,"Minahan, Miss. Daisy E",female,33,1,Q
414,"Cunningham, Mr. Alfred Fleming",male,33.60869082764939,2,S
415,"Sundman, Mr. Johan Julian",male,44,3,S
416,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,33.60869082764939,3,S
417,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34,2,S
418,"Silven, Miss. Lyyli Karoliina",female,18,2,S
419,"Matthews, Mr. William John",male,30,2,S
420,"Van Impe, Miss. Catharina",female,10,3,S
421,"Gheorgheff, Mr. Stanio",male,33.60869082764939,3,C
422,"Charters, Mr. David",male,21,3,Q
423,"Zimmerman, Mr. Leo",male,29,3,S
424,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28,3,S
425,"Rosblom, Mr. Viktor Richard",male,18,3,S
426,"Wiseman, Mr. Phillippe",male,33.60869082764939,3,S
427,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28,2,S
428,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,19,2,S
429,"Flynn, Mr. James",male,33.60869082764939,3,Q
430,"Pickard, Mr. Berk (Berk Trembisky)",male,32,3,S
431,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28,1,S
432,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,33.60869082764939,3,S
433,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42,2,S
434,"Kallio, Mr. Nikolai Erland",male,17,3,S
435,"Silvey, Mr. William Baird",male,50,1,S
436,"Carter, Miss. Lucile Polk",female,14,1,S
437,"Ford, Miss. Doolina Margaret ""Daisy""",female,21,3,S
438,"Richards, Mrs. Sidney (Emily Hocking)",female,24,2,S
439,"Fortune, Mr. Mark",male,64,1,S
440,"Kvillner, Mr. Johan Henrik Johannesson",male,31,2,S
441,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45,2,S
442,"Hampe, Mr. Leon",male,20,3,S
443,"Petterson, Mr. Johan Emil",male,25,3,S
444,"Reynaldo, Ms. Encarnacion",female,28,2,S
445,"Johannesen-Bratthammer, Mr. Bernt",male,33.60869082764939,3,S
446,"Dodge, Master. Washington",male,4,1,S
447,"Mellinger, Miss. Madeleine Violet",female,13,2,S
448,"Seward, Mr. Frederic Kimber",male,34,1,S
449,"Baclini, Miss. Marie Catherine",female,5,3,C
450,"Peuchen, Major. Arthur Godfrey",male,52,1,S
451,"West, Mr. Edwy Arthur",male,36,2,S
452,"Hagland, Mr. Ingvald Olai Olsen",male,33.60869082764939,3,S
453,"Foreman, Mr. Benjamin Laventall",male,30,1,C
454,"Goldenberg, Mr. Samuel L",male,49,1,C
455,"Peduzzi, Mr. Joseph",male,33.60869082764939,3,S
456,"Jalsevac, Mr. Ivan",male,29,3,C
457,"Millet, Mr. Francis Davis",male,65,1,S
458,"Kenyon, Mrs. Frederick R (Marion)",female,33.60869082764939,1,S
459,"Toomey, Miss. Ellen",female,50,2,S
460,"O'Connor, Mr. Maurice",male,33.60869082764939,3,Q
461,"Anderson, Mr. Harry",male,48,1,S
