PassengerId,Name,Sex,Age,Pclass,Survived,rango_edad
184,"Becker, Master. Richard F",male,1,2,1,Infante
185,"Kink-Heilmann, Miss. Luise Gretchen",female,4,3,1,Infante
186,"Rood, Mr. Hugh Roscoe",male,33.60869082764939,1,0,Adulto_Joven
187,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,33.60869082764939,3,1,Adulto_Joven
188,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,1,1,Adulto
189,"Bourke, Mr. John",male,40,3,0,Adulto
190,"Turcin, Mr. Stjepan",male,36,3,0,Adulto_Joven
191,"Pinsky, Mrs. (Rosa)",female,32,2,1,Adulto_Joven
192,"Carbines, Mr. William",male,19,2,0,Adolescente
193,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,3,1,Adolescente
194,"Navratil, Master. Michel M",male,3,2,1,Infante
195,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,1,1,Adulto
196,"Lurette, Miss. Elise",female,58,1,1,Adulto
197,"Mernagh, Mr. Robert",male,33.60869082764939,3,0,Adulto_Joven
198,"Olsen, Mr. Karl Siegwart Andreas",male,42,3,0,Adulto
199,"Madigan, Miss. Margaret ""Maggie""",female,33.60869082764939,3,1,Adulto_Joven
200,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,2,0,Adulto_Joven
201,"Vande Walle, Mr. Nestor Cyriel",male,28,3,0,Adulto_Joven
202,"Sage, Mr. Frederick",male,33.60869082764939,3,0,Adulto_Joven
203,"Johanson, Mr. Jakob Alfred",male,34,3,0,Adulto_Joven
204,"Youseff, Mr. Gerious",male,45.5,3,0,Adulto
205,"Cohen, Mr. Gurshon ""Gus""",male,18,3,1,Adolescente
206,"Strom, Miss. Telma Matilda",female,2,3,0,Infante
207,"Backstrom, Mr. Karl Alfred",male,32,3,0,Adulto_Joven
208,"Albimona, Mr. Nassef Cassem",male,26,3,1,Adulto_Joven
209,"Carr, Miss. Helen ""Ellen""",female,16,3,1,Adolescente
210,"Blank, Mr. Henry",male,40,1,1,Adulto
211,"Ali, Mr. Ahmed",male,24,3,0,Adulto_Joven
212,"Cameron, Miss. Clear Annie",female,35,2,1,Adulto_Joven
213,"Perkin, Mr. John Henry",male,22,3,0,Adulto_Joven
214,"Givard, Mr. Hans Kristensen",male,30,2,0,Adulto_Joven
215,"Kiernan, Mr. Philip",male,33.60869082764939,3,0,Adulto_Joven
216,"Newell, Miss. Madeleine",female,31,1,1,Adulto_Joven
217,"Honkanen, Miss. Eliina",female,27,3,1,Adulto_Joven
218,"Jacobsohn, Mr. Sidney Samuel",male,42,2,0,Adulto
219,"Bazzani, Miss. Albina",female,32,1,1,Adulto_Joven
220,"Harris, Mr. Walter",male,30,2,0,Adulto_Joven
221,"Sunderland, Mr. Victor Francis",male,16,3,1,Adolescente
222,"Bracken, Mr. James H",male,27,2,0,Adulto_Joven
223,"Green, Mr. George Henry",male,51,3,0,Adulto
224,"Nenkoff, Mr. Christo",male,33.60869082764939,3,0,Adulto_Joven
225,"Hoyt, Mr. Frederick Maxfield",male,38,1,1,Adulto_Joven
226,"Berglund, Mr. Karl Ivar Sven",male,22,3,0,Adulto_Joven
227,"Mellors, Mr. William John",male,19,2,1,Adolescente
228,"Lovell, Mr. John Hall (""Henry"")",male,20.5,3,0,Adulto_Joven
229,"Fahlstrom, Mr. Arne Jonas",male,18,2,0,Adolescente
230,"Lefebre, Miss. Mathilde",female,33.60869082764939,3,0,Adulto_Joven
231,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,1,Adulto_Joven
232,"Larsson, Mr. Bengt Edvin",male,29,3,0,Adulto_Joven
233,"Sjostedt, Mr. Ernst Adolf",male,59,2,0,Adulto
234,"Asplund, Miss. Lillian Gertrud",female,5,3,1,Infante
235,"Leyson, Mr. Robert William Norman",male,24,2,0,Adulto_Joven
236,"Harknett, Miss. Alice Phoebe",female,33.60869082764939,3,0,Adulto_Joven
237,"Hold, Mr. Stephen",male,44,2,0,Adulto
238,"Collyer, Miss. Marjorie ""Lottie""",female,8,2,1,Infante
239,"Pengelly, Mr. Frederick William",male,19,2,0,Adolescente
240,"Hunt, Mr. George Henry",male,33,2,0,Adulto_Joven
241,"Zabour, Miss. Thamine",female,33.60869082764939,3,0,Adulto_Joven
242,"Murphy, Miss. Katherine ""Kate""",female,33.60869082764939,3,1,Adulto_Joven
243,"Coleridge, Mr. Reginald Charles",male,29,2,0,Adulto_Joven
244,"Maenpaa, Mr. Matti Alexanteri",male,22,3,0,Adulto_Joven
245,"Attalah, Mr. Sleiman",male,30,3,0,Adulto_Joven
246,"Minahan, Dr. William Edward",male,44,1,0,Adulto
247,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,3,0,Adulto_Joven
248,"Hamalainen, Mrs. William (Anna)",female,24,2,1,Adulto_Joven
249,"Beckwith, Mr. Richard Leonard",male,37,1,1,Adulto_Joven
250,"Carter, Rev. Ernest Courtenay",male,54,2,0,Adulto
251,"Reed, Mr. James George",male,33.60869082764939,3,0,Adulto_Joven
252,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,3,0,Adulto_Joven
253,"Stead, Mr. William Thomas",male,62,1,0,Senior
254,"Lobb, Mr. William Arthur",male,30,3,0,Adulto_Joven
255,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,3,0,Adulto
256,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,3,1,Adulto_Joven
257,"Thorne, Mrs. Gertrude Maybelle",female,33.60869082764939,1,1,Adulto_Joven
258,"Cherry, Miss. Gladys",female,30,1,1,Adulto_Joven
259,"Ward, Miss. Anna",female,35,1,1,Adulto_Joven
260,"Parrish, Mrs. (Lutie Davis)",female,50,2,1,Adulto
261,"Smith, Mr. Thomas",male,33.60869082764939,3,0,Adulto_Joven
262,"Asplund, Master. Edvin Rojj Felix",male,3,3,1,Infante
263,"Taussig, Mr. Emil",male,52,1,0,Adulto
264,"Harrison, Mr. William",male,40,1,0,Adulto
265,"Henry, Miss. Delia",female,33.60869082764939,3,0,Adulto_Joven
266,"Reeves, Mr. David",male,36,2,0,Adulto_Joven
267,"Panula, Mr. Ernesti Arvid",male,16,3,0,Adolescente
268,"Persson, Mr. Ernst Ulrik",male,25,3,1,Adulto_Joven
269,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,1,1,Adulto
270,"Bissette, Miss. Amelia",female,35,1,1,Adulto_Joven
271,"Cairns, Mr. Alexander",male,33.60869082764939,1,0,Adulto_Joven
272,"Tornquist, Mr. William Henry",male,25,3,1,Adulto_Joven
273,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41,2,1,Adulto
274,"Natsch, Mr. Charles H",male,37,1,0,Adulto_Joven
275,"Healy, Miss. Hanora ""Nora""",female,33.60869082764939,3,1,Adulto_Joven
276,"Andrews, Miss. Kornelia Theodosia",female,63,1,1,Senior
277,"Lindblom, Miss. Augusta Charlotta",female,45,3,0,Adulto
278,"Parkes, Mr. Francis ""Frank""",male,33.60869082764939,2,0,Adulto_Joven
279,"Rice, Master. Eric",male,7,3,0,Infante
280,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,3,1,Adulto_Joven
281,"Duane, Mr. Frank",male,65,3,0,Senior
282,"Olsson, Mr. Nils Johan Goransson",male,28,3,0,Adulto_Joven
283,"de Pelsmaeker, Mr. Alfons",male,16,3,0,Adolescente
284,"Dorking, Mr. Edward Arthur",male,19,3,1,Adolescente
285,"Smith, Mr. Richard William",male,33.60869082764939,1,0,Adulto_Joven
286,"Stankovic, Mr. Ivan",male,33,3,0,Adulto_Joven
287,"de Mulder, Mr. Theodore",male,30,3,1,Adulto_Joven
288,"Naidenoff, Mr. Penko",male,22,3,0,Adulto_Joven
289,"Hosono, Mr. Masabumi",male,42,2,1,Adulto
290,"Connolly, Miss. Kate",female,22,3,1,Adulto_Joven
291,"Barber, Miss. Ellen ""Nellie""",female,26,1,1,Adulto_Joven
292,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,1,Adolescente
293,"Levy, Mr. Rene Jacques",male,36,2,0,Adulto_Joven
294,"Haas, Miss. Aloisia",female,24,3,0,Adulto_Joven
295,"Mineff, Mr. Ivan",male,24,3,0,Adulto_Joven
296,"Lewy, Mr. Ervin G",male,33.60869082764939,1,0,Adulto_Joven
297,"Hanna, Mr. Mansour",male,23.5,3,0,Adulto_Joven
298,"Allison, Miss. Helen Loraine",female,2,1,0,Infante
299,"Saalfeld, Mr. Adolphe",male,33.60869082764939,1,1,Adulto_Joven
300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,1,1,Adulto
301,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,33.60869082764939,3,1,Adulto_Joven
302,"McCoy, Mr. Bernard",male,33.60869082764939,3,1,Adulto_Joven
303,"Johnson, Mr. William Cahoone Jr",male,19,3,0,Adolescente
304,"Keane, Miss. Nora A",female,33.60869082764939,2,1,Adulto_Joven
305,"Williams, Mr. Howard Hugh ""Harry""",male,33.60869082764939,3,0,Adulto_Joven
306,"Allison, Master. Hudson Trevor",male,0.92,1,1,Infante
307,"Fleming, Miss. Margaret",female,33.60869082764939,1,1,Adulto_Joven
308,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,1,Adolescente
309,"Abelson, Mr. Samuel",male,30,2,0,Adulto_Joven
310,"Francatelli, Miss. Laura Mabel",female,30,1,1,Adulto_Joven
311,"Hays, Miss. Margaret Bechstein",female,24,1,1,Adulto_Joven
312,"Ryerson, Miss. Emily Borie",female,18,1,1,Adolescente
313,"Lahtinen, Mrs. William (Anna Sylfven)",female,26,2,0,Adulto_Joven
314,"Hendekovic, Mr. Ignjac",male,28,3,0,Adulto_Joven
315,"Hart, Mr. Benjamin",male,43,2,0,Adulto
316,"Nilsson, Miss. Helmina Josefina",female,26,3,1,Adulto_Joven
317,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24,2,1,Adulto_Joven
318,"Moraweck, Dr. Ernest",male,54,2,0,Adulto
319,"Wick, Miss. Mary Natalie",female,31,1,1,Adulto_Joven
320,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40,1,1,Adulto
321,"Dennis, Mr. Samuel",male,22,3,0,Adulto_Joven
322,"Danoff, Mr. Yoto",male,27,3,0,Adulto_Joven
323,"Slayter, Miss. Hilda Mary",female,30,2,1,Adulto_Joven
324,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22,2,1,Adulto_Joven
325,"Sage, Mr. George John Jr",male,33.60869082764939,3,0,Adulto_Joven
326,"Young, Miss. Marie Grice",female,36,1,1,Adulto_Joven
327,"Nysveen, Mr. Johan Hansen",male,61,3,0,Senior
328,"Ball, Mrs. (Ada E Hall)",female,36,2,1,Adulto_Joven
329,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31,3,1,Adulto_Joven
330,"Hippach, Miss. Jean Gertrude",female,16,1,1,Adolescente
331,"McCoy, Miss. Agnes",female,33.60869082764939,3,1,Adulto_Joven
332,"Partner, Mr. Austen",male,45.5,1,0,Adulto
333,"Graham, Mr. George Edward",male,38,1,0,Adulto_Joven
334,"Vander Planke, Mr. Leo Edmondus",male,16,3,0,Adolescente
335,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,33.60869082764939,1,1,Adulto_Joven
336,"Denkoff, Mr. Mitto",male,33.60869082764939,3,0,Adulto_Joven
337,"Pears, Mr. Thomas Clinton",male,29,1,0,Adulto_Joven
338,"Burns, Miss. Elizabeth Margaret",female,41,1,1,Adulto
339,"Dahl, Mr. Karl Edwart",male,45,3,1,Adulto
340,"Blackwell, Mr. Stephen Weart",male,45,1,0,Adulto
341,"Navratil, Master. Edmond Roger",male,2,2,1,Infante
342,"Fortune, Miss. Alice Elizabeth",female,24,1,1,Adulto_Joven
343,"Collander, Mr. Erik Gustaf",male,28,2,0,Adulto_Joven
344,"Sedgwick, Mr. Charles Frederick Waddington",male,25,2,0,Adulto_Joven
345,"Fox, Mr. Stanley Hubert",male,36,2,0,Adulto_Joven
346,"Brown, Miss. Amelia ""Mildred""",female,24,2,1,Adulto_Joven
347,"Smith, Miss. Marion Elsie",female,40,2,1,Adulto
348,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,33.60869082764939,3,1,Adulto_Joven
349,"Coutts, Master. William Loch ""William""",male,3,3,1,Infante
350,"Dimic, Mr. Jovan",male,42,3,0,Adulto
351,"Odahl, Mr. Nils Martin",male,23,3,0,Adulto_Joven
352,"Williams-Lambert, Mr. Fletcher Fellows",male,33.60869082764939,1,0,Adulto_Joven
353,"Elias, Mr. Tannous",male,15,3,0,Adolescente
354,"Arnold-Franchi, Mr. Josef",male,25,3,0,Adulto_Joven
355,"Yousif, Mr. Wazli",male,33.60869082764939,3,0,Adulto_Joven
356,"Vanden Steen, Mr. Leo Peter",male,28,3,0,Adulto_Joven
357,"Bowerman, Miss. Elsie Edith",female,22,1,1,Adulto_Joven
358,"Funk, Miss. Annie Clemmer",female,38,2,0,Adulto_Joven
359,"McGovern, Miss. Mary",female,33.60869082764939,3,1,Adulto_Joven
360,"Mockler, Miss. Helen Mary ""Ellie""",female,33.60869082764939,3,1,Adulto_Joven
361,"Skoog, Mr. Wilhelm",male,40,3,0,Adulto
362,"del Carlo, Mr. Sebastiano",male,29,2,0,Adulto_Joven
363,"Barbara, Mrs. (Catherine David)",female,45,3,0,Adulto
364,"Asim, Mr. Adola",male,35,3,0,Adulto_Joven
365,"O'Brien, Mr. Thomas",male,33.60869082764939,3,0,Adulto_Joven
366,"Adahl, Mr. Mauritz Nils Martin",male,30,3,0,Adulto_Joven
367,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60,1,1,Senior
368,"Moussa, Mrs. (Mantoura Boulos)",female,33.60869082764939,3,1,Adulto_Joven
369,"Jermyn, Miss. Annie",female,33.60869082764939,3,1,Adulto_Joven
